PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
B	Hung, Wei-Hsi; Tsai, Chia-An; Hung, Shin-Yuan; McQueen, Robert J.; Jou, Jau-Jeng	Tan, FB							Evaluating Web Site Support Capabilities in Sell-Side B2B Transaction Processes: A Longitudinal Study of Two Industries in New Zealand and Taiwan								GLOBAL DIFFUSION AND ADOPTION OF TECHNOLOGIES FOR KNOWLEDGE AND INFORMATION SHARING								53	81		10.4018/978-1-4666-2142-8.ch003	10.4018/978-1-4666-2142-8			2013	2013										0	0	0		0	0	0					978-1-4666-2143-5; 978-1-4666-2142-8	WOS:000416779600004		
B	Hannas, Goril; Andersen, Otto	Wang, J							B2B Relationships in Modern Times: Implications of Relation-Specific Information Systems on Governance Forms								MANAGEMENT INNOVATIONS FOR INTELLIGENT SUPPLY CHAINS								25	47		10.4018/978-1-4666-2461-0.ch002	10.4018/978-1-4666-2461-0			2013	2013										0	0	0	0	0	0	0					978-1-4666-2462-7; 978-1-4666-2461-0	WOS:000416735000003		
J	Elomri, Adel; Ghaffari, Asma; Jemai, Zied; Dallery, Yves				Jemai, Ziad/X-5101-2018	Jemai, Ziad/0000-0001-7679-9670			Coalition Formation and Cost Allocation for Joint Replenishment Systems								PRODUCTION AND OPERATIONS MANAGEMENT				21	6			1015	1027		10.1111/j.1937-5956.2012.01333.x				NOV-DEC 2012	2012										15	0	0	0	0	1	16			1059-1478	1937-5956		WOS:000310788100004		
J	Zhang, Xianfeng; Luo, Jifeng; Li, Qi								Do different reputation systems provide consistent signals of seller quality: a canonical correlation investigation of Chinese C2C marketplaces								ELECTRONIC MARKETS				22	3			155	168		10.1007/s12525-012-0092-4				SEP 2012	2012										8	0	0	0	0	0	8			1019-6781	1422-8890		WOS:000309868700004		
J	Xing, Wei; Wang, Shouyang; Liu, Liming				LIU, Liming/O-1652-2018	LIU, Liming/0000-0002-8775-9655; Wang, Shouyang/0000-0001-5773-998X			Optimal ordering and pricing strategies in the presence of a B2B spot market								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				221	1			87	98		10.1016/j.ejor.2012.03.017				AUG 16 2012	2012										29	5	0	0	0	0	34			0377-2217			WOS:000304217900009		
J	Bahinipati, Bikram K.; Deshmukh, S. G.				Deshmukh, S. G./E-8267-2013	Deshmukh, S. G./0000-0002-7043-6948			Vertical collaboration in the semiconductor industry: A decision framework for supply chain relationships								COMPUTERS & INDUSTRIAL ENGINEERING				62	2			504	526		10.1016/j.cie.2011.10.017				MAR 2012	2012										22	0	0	0	0	0	22			0360-8352	1879-0550		WOS:000300751300009		
J	Sepehri, M.; Fayazbakhsh, K.								A multi-period and multi-product optimizer for cooperative supply chains								SOUTH AFRICAN JOURNAL OF BUSINESS MANAGEMENT				43	1			77	93						MAR 2012	2012										3	1	0	0	0	0	4			2078-5585	2078-5976		WOS:000209063700007		
J	Radicchi, Filippo; Baronchelli, Andrea; Amaral, Luis A. N.				Baronchelli, Andrea/F-9550-2016; Baronchelli, Andrea/N-3999-2019; Amaral, LAN/A-4980-2008; Radicchi, Filippo/B-4407-2009; Amaral, Luis N./C-5485-2009	Baronchelli, Andrea/0000-0002-0255-0829; Baronchelli, Andrea/0000-0002-0255-0829; Amaral, LAN/0000-0002-3762-789X; 			Rationality, Irrationality and Escalating Behavior in Lowest Unique Bid Auctions								PLOS ONE				7	1					e29910	10.1371/journal.pone.0029910				JAN 18 2012	2012										23	0	0	0	8	0	23			1932-6203			WOS:000299771900031	22279553	
J	Hall, David C.; Saygin, Can								Impact of information sharing on supply chain performance								INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY				58	1-4			397	409		10.1007/s00170-011-3389-0				JAN 2012	2012										28	0	0	0	0	1	29			0268-3768	1433-3015		WOS:000298995400033		
J	Dothang Truong; Le, Thuong T.; Senecal, Sylvain; Rao, S. Subba								Electronic Marketplace: A Distinct Platform for Business-to-Business (B-to-B) Procurement								JOURNAL OF BUSINESS-TO-BUSINESS MARKETING				19	3			216	247		10.1080/1051712X.2012.638467				2012	2012										5	0	0	0	0	0	5			1051-712X	1547-0628		WOS:000308132300002		
J	Saprikis, Vaggelis; Vlachopoulou, Maro								Determinants of suppliers' level of use of B2B e-marketplaces								INDUSTRIAL MANAGEMENT & DATA SYSTEMS				112	3-4			619	643		10.1108/02635571211225512				2012	2012										12	0	0	0	0	0	12			0263-5577			WOS:000305369400014		
B	Srinivasan, Mahesh	Tavana, M							E-Business and ERP: A Conceptual Framework toward the Business Transformation to an Integrated E-Supply Chain								ENTERPRISE INFORMATION SYSTEMS AND ADVANCING BUSINESS SOLUTIONS: EMERGING MODELS								54	73		10.4018/978-1-4666-1761-2.ch004	10.4018/978-1-4666-1761-2			2012	2012										0	0	0	0	0	0	0					978-1-4666-1762-9; 978-1-4666-1761-2	WOS:000424113000005		
J	Lee, Loo Hay; Lee, Chulung; Bao, Jie				Lee, Loo Hay/G-7144-2015; Lee, Chulung/O-6205-2018	Lee, Chulung/0000-0002-2041-0221; Lee, Loo Hay/0000-0001-9359-0027			The Impacts of an Electronic Marketplace with Multiple Independent Retailers for Smart Grocery Ordering Systems								WIRELESS PERSONAL COMMUNICATIONS				60	3	SI		475	487		10.1007/s11277-011-0303-x				OCT 2011	2011										2	0	0	0	0	0	2			0929-6212	1572-834X		WOS:000295171800008		
J	Sepehri, M.								Cost and inventory benefits of cooperation in multi-period and multi-product supply								SCIENTIA IRANICA				18	3			731	741		10.1016/j.scient.2011.05.020				JUN 2011	2011										8	0	0	0	0	0	8			1026-3098			WOS:000294852300064		
J	Wang, Yingli; Potter, Andrew; Naim, Mohamed; Beevor, Derek					Potter, Andrew/0000-0002-3157-9735; Wang, Yingli/0000-0001-5630-9558			A case study exploring drivers and implications of collaborative electronic logistics marketplaces								INDUSTRIAL MARKETING MANAGEMENT				40	4	SI		612	623		10.1016/j.indmarman.2010.12.015				MAY 2011	2011										18	0	0	0	0	0	18			0019-8501	1873-2062		WOS:000291138700015		
J	Tang, Xinlin; Rai, Arun; Wareham, Jonathan					Rai, Arun/0000-0002-3655-7543			Bridging and Bonding in Exchange Networks: A Structural Embeddedness Perspective of B2B Digital Intermediation								IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT				58	1			4	20		10.1109/TEM.2010.2058852				FEB 2011	2011										12	0	0	0	0	0	12			0018-9391	1558-0040		WOS:000286384700002		
B	Lavassani, Kayvan Miri; Movahedi, Bahar; Kumar, Vinod	Pattinson, HM; Low, DR							E-Marketplaces: Taxonomy of the New Collaborative Information Platform								E-NOVATION FOR COMPETITIVE ADVANTAGE IN COLLABORATIVE GLOBALIZATION: TECHNOLOGIES FOR EMERGING E-BUSINESS STRATEGIES								16	33		10.4018/978-1-60566-394-4.ch002	10.4018/978-1-60566-394-4			2011	2011										2	0	0	0	0	0	2					978-1-60566-395-1; 978-1-60566-394-4	WOS:000303071200004		
J	Zandi, Faramak; Tavana, Madjid; Martin, David								A fuzzy group Electre method for electronic supply chain management framework selection								INTERNATIONAL JOURNAL OF LOGISTICS-RESEARCH AND APPLICATIONS				14	1			35	60	PII 933526610	10.1080/13675567.2010.550872				2011	2011										5	0	0	0	0	0	5			1367-5567	1469-848X		WOS:000287406900003		
J	Hung, Wei-Hsi; Tsai, Chia-An; Hung, Shin-Yuan; McQueen, Robert J.; Jou, Jau-Jeng								Evaluating Web Site Support Capabilities in Sell-Side B2B Transaction Processes: A Longitudinal Study of Two Industries in New Zealand and Taiwan								JOURNAL OF GLOBAL INFORMATION MANAGEMENT				19	1			51	79		10.4018/jgim.2011010103				JAN-MAR 2011	2011										1	0	0	0	0	0	1			1062-7375	1533-7995		WOS:000285692600003		
